epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,357.793,0.5689,0.80402,0.5826,0.99376,0.76583,0.52961,0.66438,0.52961,0.76583,0.52961,0.66158,0.52117,0.81949,1.811,1.14536,1.22399,0.000731813,0.000731813,0.000731813
70,361.979,0.56619,0.77292,0.55062,0.98199,0.65099,0.62124,0.64023,0.4818,0.65099,0.62124,0.63997,0.48611,0.91135,1.96029,1.17908,1.28306,0.00071806,0.00071806,0.00071806
71,366.182,0.62869,0.93611,0.60573,1.01416,0.77994,0.64396,0.68676,0.5335,0.77994,0.64396,0.68629,0.54671,0.8626,2.03291,1.13159,1.26099,0.000704307,0.000704307,0.000704307
72,370.359,0.58494,0.79828,0.53799,0.99788,0.77314,0.66007,0.7022,0.57681,0.77524,0.64421,0.68857,0.56227,0.71622,1.81545,1.0392,1.15296,0.000690555,0.000690555,0.000690555
73,374.634,0.55579,0.80039,0.55703,0.96476,0.70662,0.68438,0.69688,0.57969,0.69329,0.6772,0.68458,0.56639,0.72051,1.63453,1.07524,1.16999,0.000676802,0.000676802,0.000676802
74,378.999,0.51872,0.70877,0.51694,0.95331,0.7133,0.66188,0.67583,0.56951,0.7133,0.66188,0.6755,0.5603,0.7396,1.55856,1.17573,1.1659,0.000663049,0.000663049,0.000663049
75,383.212,0.54089,0.78924,0.55912,0.95406,0.73625,0.63761,0.67105,0.54073,0.73625,0.63761,0.67122,0.54038,0.7818,1.56408,1.16837,1.19397,0.000649297,0.000649297,0.000649297
76,387.389,0.52475,0.77368,0.50864,0.9464,0.68329,0.64474,0.66472,0.5281,0.68403,0.64545,0.66819,0.52797,0.85448,1.7555,1.11332,1.26407,0.000635544,0.000635544,0.000635544
77,391.554,0.53353,0.773,0.5138,0.96502,0.70371,0.59567,0.66726,0.52872,0.694,0.58658,0.66272,0.53054,0.89502,1.93211,1.1071,1.2923,0.000621791,0.000621791,0.000621791
78,395.783,0.56214,0.74748,0.52422,1.00352,0.60571,0.66357,0.6885,0.5279,0.5995,0.65465,0.67554,0.5356,0.93514,1.93102,1.11283,1.29735,0.000608038,0.000608038,0.000608038
